nohup: ignoring input
# a142886 v0.1.0 --parallel --max-n 203 --checkpoint a142886_results.txt
# started 2026-05-22 20:14:10 local
# columns: [timestamp] n a(n)
[2026-05-22 20:19:47] 158 0
[2026-05-22 20:19:47] 159 0
[2026-05-22 20:24:21] 160 259018020084
[2026-05-22 20:25:13] 161 29256182414
[2026-05-22 20:25:13] 162 0
[2026-05-22 20:25:13] 163 0
[2026-05-22 20:34:36] 164 535733678780
[2026-05-22 20:36:18] 165 56848372934
[2026-05-22 20:36:18] 166 0
[2026-05-22 20:36:18] 167 0
[2026-05-22 20:54:26] 168 1026909298960
[2026-05-22 20:57:46] 169 110511266536
[2026-05-22 20:57:46] 170 0
[2026-05-22 20:57:46] 171 0
[2026-05-22 21:32:05] 172 2122968114476
[2026-05-22 21:38:52] 173 215006917388
[2026-05-22 21:38:52] 174 0
[2026-05-22 21:38:52] 175 0
[2026-05-22 22:50:52] 176 4074089466979
[2026-05-22 23:03:28] 177 418479036910
[2026-05-22 23:03:28] 178 0
[2026-05-22 23:03:28] 179 0
[2026-05-23 01:20:33] 180 8418895359009
[2026-05-23 01:45:13] 181 815124434212
[2026-05-23 01:45:13] 182 0
[2026-05-23 01:45:13] 183 0
[2026-05-23 06:23:59] 184 16173675578176
[2026-05-23 07:14:29] 185 1588320840500
[2026-05-23 07:14:29] 186 0
[2026-05-23 07:14:29] 187 0
[2026-05-23 17:04:55] 188 33409061095508
[2026-05-23 18:42:36] 189 3097108654488
[2026-05-23 18:42:36] 190 0
[2026-05-23 18:42:36] 191 0
[2026-05-24 13:53:21] 192 64246743385444
[2026-05-24 17:04:20] 193 6041272987934
[2026-05-24 17:04:20] 194 0
[2026-05-24 17:04:20] 195 0
[2026-05-26 07:43:20] 196 132663997491451
[2026-05-26 13:44:18] 197 11791854838392
[2026-05-26 13:44:18] 198 0
[2026-05-26 13:44:18] 199 0
[2026-05-29 16:26:26] 200 255354455069817
